Comment,Designator,Footprint,LCSC,Quantity
0,"C4,R2",C_0402_1005Metric,C17168,2
0.1µF,"C11,C12,C5",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,3
100k,R5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25741,1
100nF,C3,C_0402_1005Metric,C1525,1
100pF,C2,C_0402_1005Metric,C1546,1
100µF,C8,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C15008,1
10k,"R3,R4",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,2
10nF,C7,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15195,1
10µF,C9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C19702,1
1µF,C1,C_0402_1005Metric,C52923,1
"2,2µF",C6,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C12530,1
22µH,L2,FNR3015S,C167761,1
5k1,R1,R_0603_1608Metric,C23186,1
"6,8nH",L1,L_0402_1005Metric,C77110,1
Antenna_Chip,AE1,RFANT3216120A5T,C127629,1
B0520,D29,D_SOD-523,C2910120,1
CH340N,U4,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,C2977777,1
ESD5Z6.0,D2,D_SOD-523,C49437732,1
H4V5HD3UA,"D3,D4",D_SOD-323,C54334010,2
ICM-42670-L,U3,Bosch_LGA-14_3x2.5mm_P0.5mm,C49073546,1
TX4204,U1,SOT-23-3,C5122342,1
Thermistor_NTC,TH1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C49247682,1
USB_C_Plug_USB2.0,P1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C668623,1
nRF52832-QFxx,U5,QFN-48-1EP_6x6mm_P0.4mm_EP4.6x4.6mm,C77540,1
WS2812B-2020,D23,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D26,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D20,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D21,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D18,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D14,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D25,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D22,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D19,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D5,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D11,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D13,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D24,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D8,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D10,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D1,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D6,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D7,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D16,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D15,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D17,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D28,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D27,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D12,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
WS2812B-2020,D9,LED_WS2812B-2020_PLCC4_2.0x2.0mm,,1
Battery,BT1,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,,1
SW_SPDT,SW1,K3-1236S,,1
