Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Chip,RFANT3216120A5T,160.86043,-62.033799,90.0,top
BT1,Battery,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,172.0,-71.94,90.0,bottom
C1,1µF,C_0402_1005Metric,158.9,-70.6,90.0,top
C11,0.1µF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,160.4,-81.2,-90.0,top
C12,0.1µF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,159.0,-75.0,90.0,top
C2,100pF,C_0402_1005Metric,162.1,-66.1,180.0,top
C3,100nF,C_0402_1005Metric,159.4,-73.2,180.0,top
C4,0,C_0402_1005Metric,163.767338,-65.58,90.0,top
C5,0.1µF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,166.6,-71.5,180.0,bottom
C6,"2,2µF",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,167.0675,-69.9,45.0,bottom
C7,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,169.9,-74.6675,90.0,top
C8,100µF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,162.078776,-71.106799,90.0,bottom
C9,10µF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,167.4,-77.3,180.0,bottom
D1,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,156.412822,-61.915,180.0,top
D10,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,156.412822,-82.954759,180.0,top
D11,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,157.808447,-86.678266,213.0,top
D12,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,159.79155,-89.604712,213.0,top
D13,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,161.709249,-92.618798,213.0,top
D14,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,165.018109,-96.049728,270.0,top
D15,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,168.161695,-92.621608,327.0,top
D16,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,170.069589,-89.635194,327.0,top
D17,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,172.057657,-86.674954,327.0,top
D18,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,173.45,-83.0,0.0,top
D19,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,173.45,-79.433393,0.0,top
D2,ESD5Z6.0,D_SOD-523,167.9,-79.3,180.0,bottom
D20,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,173.45,-75.971171,0.0,top
D21,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,173.45,-72.392883,0.0,top
D22,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,173.45,-68.946306,0.0,top
D23,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,173.45,-65.433948,0.0,top
D24,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,173.45,-61.953432,0.0,top
D25,WS2812B-2020,LED_WS2812B-2020_PLCC4_2.0x2.0mm,170.528767,-57.730647,45.0,top
